entry_id,country,participating_adults,non_participating_adults,participating_juniors,non_participating_juniors,booking_entry,stay_accomodation,event_organisation_rating,organisation_comments,course_planning_rating,planning_comments,social_programme_rating,programme_comments,event_comments,livestream_awareness,livestream_rating,website_provision_rating,event_info_rating,followed_via_social,social_media_content,improvement_comments,authority,transport_to_area,overnight_stay_location,transport_to_event,age,total_people,longitude,latitude
210,Other UK,2,0,1,0,Very easy,self-catered,Excellent,NA,Excellent,"Generally excellent, route around uncrossable stream was poor.",Excellent,NA,NA,Yes,NA,Excellent,Excellent,No,NA,NA,NA,car,stirling,car,41-60,3,NA,NA
211,Other UK,7,1,0,0,Very easy,self-catered,Good,Hated the commentary at finish  — elitist and ageist. Please get others. They highlight same group of orienteers at every major event,Good,NA,Not interested in social programme,NA,NA,Yes,NA,Good,Average,No,NA,sack the commentary team,NA,car,callander,car,> 60,10,NA,NA
212,Scotland,2,0,2,0,Very easy,self-catered,Excellent,We did not like the change in format to two middle distance races,Excellent,See above. We did not like the format change,Excellent,NA,NA,Yes,Excellent,Excellent,Excellent,Yes,Excellent,NA,NA,car,callander,bus,41-60,4,NA,NA
213,Other Europe,4,0,0,0,Average,self-catered,Good,NA,Excellent,NA,Not interested in social programme,NA,NA,Yes,Good,Average,Average,No,NA,NA,NA,air,motala,car,41-60,4,NA,NA
214,Other UK,2,0,0,0,Easy,campsite,Excellent,NA,Good,NA,Excellent,NA,NA,Yes,NA,Good,Excellent,No,NA,NA,NA,car,perth,car,41-60,2,NA,NA
215,Other UK,3,0,2,0,Very easy,self-catered,Excellent,NA,Excellent,NA,Excellent,NA,Include a sprint rather than 'rest day',Yes,Excellent,Excellent,Average,No,NA,some sort of chasing start on last day eg 1st 10 / 20  not necessarily started at time gap accrued over the first 5 days behind class leader but at minute / 2 minute intervals then  the rest of the class reversed (minute intervals) so that the slower participants go off after the 'chase' in the middle.,NA,car,st fillans,car,41-60,6,NA,NA
216,Other UK,1,0,0,0,Very easy,hotel/B&B,Excellent,NA,Good,NA,Not interested in social programme,NA,NA,Yes,NA,Excellent,Excellent,No,NA,we didn't enter day 4 as we had dogs with us. we didn't use any traders except day 1 because we had to get back to car park for the dogs.,NA,car,"loch earn, blair atholl, faskally",car,> 60,1,NA,NA
217,Other UK,1,0,0,0,Average,self-catered,Good,NA,Good,NA,Not interested in social programme,NA,NA,Yes,Good,Excellent,Excellent,No,NA,NA,east dunbartonshire,car,stirling,car,> 60,1,-4.22417021,55.9582901
218,Other UK,3,0,0,0,Very easy,self-catered,Excellent,NA,Excellent,NA,Not interested in social programme,NA,NA,Yes,Good,Excellent,Excellent,No,NA,NA,NA,car,"monzie, crieff",car,< 21,3,NA,NA
219,Scotland,1,0,0,0,Very easy,campsite,Good,NA,Good,NA,Not interested in social programme,NA,NA,Yes,NA,Very poor,Excellent,No,NA,NA,NA,car,crieff,car,> 60,1,NA,NA
220,Other UK,2,0,0,0,Very easy,self-catered,Excellent,NA,Excellent,Day 1 was a bit epic!,Not interested in social programme,NA,NA,Yes,Good,Excellent,Excellent,Yes,Excellent,i’m a bit perplexed by 3 long and short adult prizes.  maybe 6 long and 1 short?   as many prizes as you like for all juniors of course :).,NA,car,monzie,car,> 60,2,NA,NA
221,Scotland,2,0,0,0,Very easy,self-catered,Excellent,NA,Excellent,NA,Excellent,NA,NA,Yes,Good,Excellent,Excellent,Yes,Excellent,NA,NA,car,stirling,car,> 60,2,NA,NA
222,Other UK,4,0,0,0,Easy,campsite,Good,NA,Excellent,"Due to the constraints of car parking, the short courses were pretty average.",Not interested in social programme,NA,NA,Yes,NA,Good,Excellent,No,NA,"cut down the commentary and its volume. part of the pleasure of this sport is the enjoyment of the environment, which is severely  diminished by being able to hear the uninteresting drivel which is sometimes audible several controls from the finish.",aberdeen,car,blair atholl,car,> 60,4,-2.20397997,57.1669693
223,Scotland,1,0,0,0,Very easy,own home,Excellent,V well organised!,Excellent,"Only took part on days 1, 3, 4, 5 and trail O.  Day 3 course planning (C31) could have been better with several unnecessary dog legs and climbs.  The trail O was v good and well run.",Not interested in social programme,"Did not attend as had a 3.5 year old, but it looked good!",NA,Yes,Good,Excellent,Excellent,No,NA,NA,NA,car,auchterarder,car,< 21,1,NA,NA
224,Rest of the World,1,0,0,0,Very easy,self-catered,Excellent,NA,Excellent,NA,Not interested in social programme,NA,NA,Yes,Good,Good,Excellent,Yes,Good,NA,NA,car,st fillans,car,21-40,1,NA,NA
225,Scotland,2,0,2,0,Very easy,campsite,Good,The event newsletter being available online only meant if you didn’t have signal or WiFi it was difficult to obtain. We missed the paper copy and had v little mobile reception and no WiFi for most of the week.  Perhaps having it on a board at the event would be helpful so it can be read.,Excellent,Having so many remote finishes meant there was less of a family group atmosphere and meant more people just went to cars rather than club tents.  The last days remote finish meant some people never returned to cheer others on.,Not interested in social programme,It was all based around the event centre so too remote for us to attend.,NA,Yes,NA,Good,Good,Yes,Good,let the string  courses be closer to the arena so children can compete easily,moray,car,dunkeld,car,41-60,4,-3.20186996,57.47682953
226,Scotland,1,1,2,0,Average,self-catered,Excellent,Long walks to/ from and some silly hills (ie day1). Not good for the demographics of attendees or safety,Good,"Mixed. Some days excellent. (1.3 and 6 especially) Others poor. The open running on day4 was a park run and now where near TD5,   Long stretches on open at day 5 we’re a shame too.",Very poor,Did not attend but it looked good,Key that we select good quality areas then make the right decisions on courses,Yes,NA,Good,Good,No,NA,reduce paper!  focus on quality of areas limit the extra walking. too much this year.,aberdeen,car,lochearn,car,41-60,4,-2.20397997,57.1669693
227,Scotland,2,0,2,0,Easy,campsite,Excellent,"Really well organised! Clear organisation of assembly, car park and routes to start! One of the best weeks of this sport! Loved every minute! Great idea for the livestream too and tracking all different age classes with a range of athletes!",Excellent,"Really enjoyable course with a range of areas to suit all types of orienteers, such a good week of courses!",Excellent,NA,Really enjoyable to have some middle distance events particularly on technical areas! Was also really nice to have a middle distance on the last day when body was feeling tired and felt easier to tackle a shorter course rather than long so really enjoyable although understandable the areas have to work,Yes,Average,Excellent,Excellent,No,NA,NA,NA,car,crieff/comrie,car,41-60,4,NA,NA
228,Other UK,2,0,2,0,Very easy,self-catered,Excellent,I understand the constraints of the areas but the days with remote finish and split assembly/arena lacked some of the usual 6 Days atmosphere.,Excellent,For various reasons I was doing CC Orange this year and felt that some days the courses were right on the top edge of Orange guidelines or slightly over the top!,Excellent,Have only put average to have access to this box. On this occasion we were not able to attend any social events for personal reasons.,NA,Yes,NA,Excellent,Excellent,No,NA,as usual lots of volunteers doing a great job. the ideal locations are parking close to a combined assembly/arena but i know these locations are not easily available.,south ayrshire,car,killin,bus,41-60,4,-4.72901011,55.23006821
229,Other UK,6,0,0,0,Very easy,self-catered,Excellent,Very well organised,Average,Day 1 was difficult. Only did days 2 and 3. They were very good.,Not interested in social programme,Just went to the ceilidh,It’s a holiday event so shorter runs are welcome,Yes,NA,Good,Good,No,NA,NA,NA,no travel,comrie,car,41-60,6,NA,NA
230,Other UK,4,0,0,0,Very easy,self-catered,Excellent,NA,Excellent,NA,Not interested in social programme,NA,NA,Yes,Good,Good,Average,No,NA,NA,NA,car,scone,car,> 60,4,NA,NA
231,Other UK,3,0,0,0,Very easy,campsite,Excellent,NA,Good,Generally excellent. However … Day1 start triangle was misplaced; Day2 dismayed by the OOB river controversy; Day4 had high fences which should have had crossing points for old people; Day5 courses were far from even in use of good stuff.,Excellent,NA,"Middle events are inevitably vastly unfair on early starters. Don't mind them being included to make best use of limited areas, so long as I get a late start those days.",Yes,Good,Excellent,Excellent,Yes,Average,NA,NA,car,lawers,car,41-60,3,NA,NA
232,Scotland,2,0,2,0,Very easy,campsite,Good,NA,Average,NA,Not interested in social programme,NA,... but no more than 2,Yes,NA,Good,Good,No,NA,"establish and publish position on dogs early in process, ideally with access to arena on leads. only in car park risks dogs being left in cars in hot weather if arena is not adjacent, or if no dogs in an area at all means a member of the group potentially not being able to even attend that day.",dumfries and galloway,car,nr crieff,car,41-60,4,-4.02862978,55.09621811
233,Other UK,1,1,0,0,Very easy,campsite,Average,You also  continue to use the completely daft position based system for establishing over all position which makes no sense mathematically speaking. Please revert to the previous system.   I was tripped up by one of the tv cables on day 2  and my knee has still not recovered over  a week later. They should have been wrapped in yellow and black tape. As I reported it  an apology would have been nice.,Average,"I didn't think the M14A/M16B course was TD4 most days,  it was TD5. The open fell area Culteuchar and Dron was very disappointing as an area.  Prefer more events in woods and not in open fell if possible. I know vegetation and access can make this difficult. Blue course start on Craig a Barns missed out the nicest piece of the forest which was disappointing.",Good,The ceilidh was good. Didn't go to anything else.,A middle distance on the last day is good for the driver. Less tired for the drive home. Not sure if you need two of them.,Yes,NA,Good,Good,No,NA,"the on site wi-fi was a disaster. three people in my group attempted to connect and never managed it. it never got past ""obtaining ip address"" which suggests it had nothing like enought capacity. it was difficult to find information on the  web site. for example the statement that td 5 courses were long but td4 were middle on certain days was buried and easy to miss. you can not assume everyone attending the event has good internet connection and spends their evenings trawling throught the web site.  while not handing out paper newsletters may make environmental sense it means you can not guarantee everyone is getting the necessary information about the event. i suggest you go back to the old system.  i would like to complement the organisers on the timely posting of all results and routegadget courses etc. every day. this was greatly appreciated. the live streaming was pretty pointless. i did look at it on the one day i was back in my flat while it was still on and it said there were about 20 people watching it. clearly not possible to watch it at the event as the internet didn't work. the printed information was not consistent in presenting how much climb there was to the start. it should always be in the summary diagram. day 6 had quite a bit of climb en route to the start but did not mention it. it matters to the older competitors a lot.",NA,car,crieff,car,41-60,4,NA,NA
234,Other Europe,3,1,0,0,Easy,self-catered,Excellent,NA,Excellent,NA,Good,NA,NA,Yes,Average,Good,Good,No,NA,commentary at events focussed too much on elites and did not give enough mention to ordinary competitors especially the efforts of the children. these are the foundations of the sport and we need to encourage them as much as possible- a few name drops and congratulations as they come in would go a long way,NA,car,creiff,car,> 60,4,NA,NA
235,Other UK,3,0,0,0,Very easy,self-catered,Excellent,"Walks to arena and starts a bit too long.  Unclear arena on on some days with separate finish or traders not in finish field etc.  Days 2,4...",Good,"Day 4 area was very poor, not really up to 6-day quality.",Good,Good quiz,Middles on Days 2 and 5 would provide a better physical balance.,Yes,NA,Excellent,Good,No,NA,NA,NA,car,loch tay,car,> 60,3,NA,NA
236,Scotland,2,0,0,0,Very easy,campsite,Good,NA,Excellent,NA,Good,NA,NA,Yes,NA,Excellent,Average,No,NA,NA,NA,train,dunning,bus,< 21,2,NA,NA
237,Other UK,1,2,0,0,Very easy,campsite,Excellent,NA,Excellent,Apart from river crossing issue.,Not interested in social programme,This was my remit so would prefer not to comment!,NA,Yes,NA,Good,Average,Yes,Average,NA,perth and kinross,car,comrie,car,41-60,2,-3.88479996,56.57529068
238,Other UK,2,0,0,0,Very easy,self-catered,Excellent,There was no transport between events for the club tents - that would have been a nice addition and was provided previously.  We would like to see bottled water and non-recyclable food packaging banned from the event.,Good,Day 4 for the M50L course was very poor. Essentially TD3 navigation for 9 km - very disappointing compared to the other days Although the terrain was open fields the planner still used only the most obvious control sites making very little use of available contour detail. On the one leg with an obvious route choice one option was a cross an extremely heathery hill top that appeared on the map to be the same terrain as the open fields. The controller should also share some responsibility for this poor planning.,Not interested in social programme,"Went to the ceilidh which was pretty good, although slightly too many participants meaning that there wasn't really enough room on the dance floor.  We were impressed by the number of other things on offer even though we didn't participate.","I thought the long, long, middle, rest, long, long, middle arrangement was good, I felt slightly less exhausted thatn on previous 6 days at the end of the week. I imagine that those who could only make one or two events might have questioned the value for money of the middle events if they weren't part of an overall package.",Yes,NA,Good,Good,Yes,Good,would have been good to have results available in splitsbrowser also.,NA,air,abernyte - camping in friend's garden,car,21-40,2,NA,NA
239,Other UK,8,0,3,0,Very easy,self-catered,Good,NA,Good,Day 4 was amazing   But I might be biased,Not interested in social programme,NA,NA,Yes,NA,Excellent,Excellent,Yes,Good,NA,edinburgh,car,comrie,car,21-40,10,-3.27825999,55.91119003
240,Scotland,5,0,1,0,Very easy,self-catered,Excellent,NA,Good,NA,Not interested in social programme,NA,NA,Yes,Good,Good,Good,Yes,Good,NA,NA,car,stirling,car,41-60,5,NA,NA
241,Other UK,7,2,0,0,Very easy,self-catered,Excellent,NA,Excellent,NA,Average,Looked good but I didn't need any more entertainment.,NA,Yes,NA,Good,Good,Yes,Good,"i was delighted with the event. the location and areas were lovely.  one or two things to mention.  there wasn't enough running water at the campsite (showers, tooth cleaning, washing up, hand washing). this seems to always happen! i had some alternative options this year but it was not really good enough.   i found the programme's travel directions a bit confusing. perhaps pared down too much. e.g. travel out of crieff on a numbered road that doesn't actually start in crieff with that number.  parent punching starts. it was a great help to get punching starts to assist with childcare. it can make all the difference, whether with 2 or 1 parents, in being able to participate in the event. however i had to rely on being able to sort this out at the event because it was ambiguous at the entry stage. i aimed at my allocated times but with long walks to the starts it was vital to have the leeway. to spell this out, you can't speed a young junior to the start in the same way that you would be happy to jog up if you were on your own.  i agree paper daily news is probably outdated, but i would have found it better if dn was sent by email each day. or on twitter, perhaps it was but i didn't see it.",edinburgh,car,"comrie (event campsite, and also friends' house in comrie)",car,> 60,8,-3.27825999,55.91119003
242,Other UK,2,0,0,0,Very easy,self-catered,Excellent,I couldn’t see a way to book different levels of course on different days.,Excellent,NA,Not interested in social programme,Ceilidh was excellent,NA,Yes,NA,Excellent,Excellent,No,NA,NA,west lothian,train,comrie,car,> 60,2,-3.60909009,55.89920044
243,Other UK,1,0,1,0,Very easy,self-catered,Excellent,Parking arrangements were excellent,Excellent,NA,Not interested in social programme,NA,NA,Yes,Good,Excellent,Excellent,No,NA,some of the walks to the start were too long/too much climb for older competitors.,NA,car,auchterarder,car,41-60,3,NA,NA
244,Scotland,3,0,0,0,Easy,self-catered,Excellent,NA,Good,NA,Not interested in social programme,Would have attended more evening social events if held at 6.30pm rather than 7.30pm,NA,Yes,NA,Good,Excellent,No,NA,NA,NA,car,crieff,bus,41-60,3,NA,NA
245,Other UK,4,2,0,0,Easy,self-catered,Excellent,Due to new path created by runners the this sport was very easy. Perhaps its possible to spread the courses a bit more so not everyone is going in the same direction.,Good,Se above,Excellent,I was not there since i only run two days but it looked fun and is one of the reasons i want to come again and do the whole week.,A shower would have been amazing.,Yes,NA,Good,Good,No,NA,NA,NA,car,killin and fort william,car,41-60,6,NA,NA
246,Scotland,2,0,1,0,Very easy,self-catered,Excellent,NA,Good,NA,Good,NA,NA,Yes,Good,Excellent,Average,No,NA,NA,scottish borders,car,comrie,car,41-60,4,-2.85865998,55.52593994
247,Other UK,8,0,0,0,Easy,campsite,Good,NA,Average,NA,Good,NA,Having some middle distance running adds interest,No,Average,Good,Excellent,No,NA,NA,NA,car,crieff,car,> 60,10,NA,NA
248,Other Europe,2,0,0,0,Very easy,hotel/B&B,Excellent,NA,Excellent,NA,Excellent,NA,NA,Yes,Good,Good,Excellent,No,NA,NA,NA,car,pitlohry,car,41-60,2,NA,NA
249,Other UK,3,0,0,0,Very easy,self-catered,Excellent,Everything is well organized,Good,To many crossing points/no crossing points. There should have been a control at every crossing point to make sure that everybody crossed there.,Not interested in social programme,NA,"I would prefer that the sprint race was one of the 6 days: 4 long, 1 middle, 1 sprint  And then rest, or tourist things on the rest day",Yes,NA,Poor,Good,No,NA,very good,NA,car,crieff,car,> 60,3,NA,NA
250,Other UK,13,0,1,0,Very easy,self-catered,Excellent,Please always try to locate the finish in assembly. Great signage to parking areas all the way from campsite. Really good areas. Really good selection of traders at events. Good commentary.,Good,Really good.,Not interested in social programme,Ceilidh fantastic.,NA,Yes,Good,Good,Average,Yes,Good,NA,NA,train,comrie,car,> 60,26,NA,NA
251,Scotland,3,0,0,0,Very easy,self-catered,Excellent,NA,Good,NA,Good,NA,NA,Yes,NA,Excellent,Excellent,No,NA,"better prizes considering the entry fee couldn't find map scale or planners notes of terrain on website, which i use because printed programme is too small a font",aberdeen,car,crieff,car,> 60,3,-2.20397997,57.1669693
252,Other UK,4,0,0,0,Very easy,self-catered,Excellent,NA,Excellent,"Good variation in terrain types, lot’s of climbing, many controls almost every day",Not interested in social programme,NA,We had early start groups on both middle distance days. Think of making this differently so that at least the other of middle distances hits a later start group,Yes,Good,Average,Excellent,No,NA,some roads close to events were in bad shape,NA,car,crieff,car,> 60,4,NA,NA
253,Scotland,2,0,2,0,Easy,self-catered,Excellent,The only shame was having to have a remote finish on Day 2.,Excellent,NA,Average,NA,I would also like to have a proper Classic day alongside the 2 Middles.,Yes,NA,Excellent,Excellent,Yes,Good,NA,NA,train,"inchyra, perth",car,41-60,4,NA,NA
254,Other UK,1,0,0,0,Very easy,hotel/B&B,Excellent,NA,Good,NA,Not interested in social programme,NA,NA,No,Average,Excellent,Excellent,No,NA,NA,NA,car,dunkeld,bus,> 60,1,NA,NA
255,Other UK,2,0,0,0,Very easy,hotel/B&B,Excellent,NA,Good,NA,Not interested in social programme,NA,Variety worked well,Yes,Poor,Average,Excellent,No,NA,stick to the format works well we stayed on for a further day but had we been travelling the middle event on the last day would have helped.  early notifications of locations would help for planning accommodation. had we known earlier would have moved up to perth for last couple of days.,NA,car,stirling,car,> 60,2,NA,NA
256,Other UK,1,1,0,0,Very easy,hotel/B&B,Excellent,Excellent organisation. Thank you all for your time.,Good,"We enjoyed every course, no matter how hard.",Not interested in social programme,NA,A mix of events helps with tired legs for those of us less fit. Also makes our brains work a little differently and that's a good thing.,Yes,NA,Excellent,Excellent,No,NA,NA,NA,car,inchture,car,41-60,2,NA,NA
257,Rest of the World,2,0,0,0,Very easy,hotel/B&B,Excellent,NA,Excellent,"First part in Day 4 is a bit boring, going back and forth almost in the same area. Some controls were at the foot of cliffs, which were not that interesting.",Not interested in social programme,NA,NA,Yes,Average,Good,Average,No,NA,NA,NA,car,comrie and perth,car,> 60,2,NA,NA
258,Other UK,4,0,0,0,Very easy,campsite,Excellent,I don’t enjoy the noise of the commentary but appreciate other people do,Excellent,Fed up of such long walks to the starts,Not interested in social programme,NA,We expected the Wednesday event to be an urban event not a sprint round a small park,Yes,Good,Excellent,Excellent,Yes,Good,NA,NA,car,crieff,car,41-60,4,NA,NA
259,Scotland,2,0,0,0,Very easy,self-catered,Excellent,Would prefer shorter distances to event arena but recognise difficulties,Good,NA,Average,NA,NA,Yes,NA,Excellent,Excellent,No,NA,couldn’t find the quiz results!,NA,car,comrie,car,> 60,2,NA,NA
260,Scotland,1,0,0,0,Very easy,own home,Excellent,Parking was the best we have ever seen,Excellent,As older competitors we struggled with some hills and fences,Not interested in social programme,NA,NA,Yes,Good,Excellent,Excellent,No,NA,NA,scottish borders,air,.comrie,car,41-60,1,-2.85865998,55.52593994
261,Scotland,3,0,0,0,Very easy,own home,Excellent,Cheats should be disqualified- poor decision on the river crossing debacle. Overall organisation was good though.,Good,Again river crossing debacle was partly caused by the planning,Not interested in social programme,Only do the quiz - which was exceptionally good,NA,Yes,Good,Good,Excellent,No,NA,NA,NA,car,comrie,car,> 60,3,NA,NA
262,Other UK,2,0,0,0,Easy,self-catered,Good,NA,Good,Day 1 was not qualified enough. Too long for alomost all courses.,Good,NA,NA,Yes,NA,Good,Good,No,NA,NA,NA,air,"knock castle, crieff",bus,> 60,2,NA,NA
263,Other UK,1,1,1,0,Very easy,campsite,Excellent,NA,Excellent,NA,Good,Great Ceilidh venue.,NA,Yes,NA,Good,Good,Yes,Good,NA,NA,car,crieff,bus,> 60,3,NA,NA
264,Other UK,6,0,6,0,Very easy,self-catered,Excellent,Really friendly!,Good,NA,Not interested in social programme,NA,NA,Yes,NA,Good,Average,No,NA,NA,NA,car,bridge of earn,car,> 60,12,NA,NA
265,Scotland,1,0,0,0,Very easy,campsite,Good,NA,Excellent,Day 1 tapes for white? course confusing for me looking for crossing point. Many people crossing wall/stream at break in white tapes not crossing point. Day2 i correctly identified uncrossible ravine. Should lines on the map between controls have been drawn from control to crossing to next control? Day 3 last control difficult to spot so close to club tents. 2 club members junior and adult commented about this.,Good,NA,I prefer long distance. Its a lot of faff going to the area for less than one hour of running on a middle distance course.,Yes,NA,Excellent,Excellent,Yes,Excellent,live results in arena only worked on one day even when standing next to computing tent.,perth and kinross,car,perth,car,41-60,1,-3.88479996,56.57529068
266,Other UK,15,0,0,0,Very easy,self-catered,Excellent,"The fine weather all week was considerably helpful. There were some long drives to the later events but that has to be accepted. The quality of the String Courses was good (important given that the long walks to the White Starts meant a youngster, (with grand parent in tow), could not take part on a proper Course.   We are unlikely to return in two years time due to the midge problem in the West of Scotland.",Excellent,NA,Excellent,NA,One Middle Distance is acceptable - but not two! We need to feel each day that we have had our money's worth and spent some time out in the forest.,Yes,Good,Excellent,Excellent,Yes,Excellent,"our group (3 adults but only 2 participating) plus one 5 year old (string course) thoroughly enjoyed our week. thank you!  a slight downer on the week was the one adult that left her purse in the service station at bothwell outside glasgow on our way home, and has not seen it since, despite best efforts of the motorway staff.",NA,car,crieff,car,> 60,27,NA,NA
267,Other UK,2,0,0,0,Very easy,self-catered,Excellent,NA,Excellent,Uncrossable river should have had controls on the two bridges to force people round it (enough said elsewhere about that). In other areas the use of crossing points on fences that could also be crossed elsewhere caused some confusion.,Excellent,NA,It is a long way to travel to only run for 25 minutes on a couple of days.,Yes,Good,Excellent,Excellent,Yes,Excellent,"minor point, but the white writing on the green background of the programme booklet was very hard to read. overall though really enjoyed the week, helped by the weather, and looking forward to 2021.",NA,air,st. killans,bus,21-40,2,NA,NA
268,Scotland,5,1,0,0,Very easy,self-catered,Good,"Unclear map. Print and paper made it hard to read when wet, dark forest and became wrinkled. Better with plastic covering the map.",Good,NA,Not interested in social programme,Could not join but the program seemed OK,The middle distances should occur if there is suitable terrain like more details.,Yes,NA,Good,Good,Yes,Poor,NA,NA,car,perth,car,> 60,7,NA,NA
269,Other UK,1,0,0,0,Very easy,campsite,Excellent,better specify the daycare have water on arrival (a moment of refreshment ... and conviviality) have a more upstream signage (village entrance for example) have more details on the arrival ticket,Good,NA,Not interested in social programme,NA,Add 2 sprints,Yes,NA,Good,Average,No,NA,display on several screens (like o'france),NA,car,perth,car,21-40,1,NA,NA
270,Scotland,5,0,0,0,Easy,self-catered,Good,NA,Average,NA,Not interested in social programme,NA,NA,Yes,Excellent,Good,Excellent,No,NA,NA,NA,car,auchterarder,car,> 60,5,NA,NA
271,Other UK,2,0,0,0,Very easy,self-catered,Excellent,Car parking ran very smoothly thank you. It would help older competitors to have a rough guide of time taken to walk to the starts,Excellent,Liked the mix of middle and long courses,Excellent,NA,NA,Yes,NA,Excellent,Excellent,No,NA,NA,NA,car,amulree,car,> 60,2,NA,NA
272,Scotland,2,0,0,0,Very easy,self-catered,Good,"This didn't affect us directly, but it seems a bit mean to charge £8 per day to amend courses - especially for juniors. Suppose I have a hard time on W12A on the first day and want to change to W12B... as a sport we should be facilitating this rather than charging £40 which effectively forces dissatisfaction",Good,NA,Good,NA,I think this allows for a good variety of technical and physical challenge,Yes,Good,Excellent,Good,Yes,Excellent,NA,NA,car,crieff,car,41-60,2,NA,NA
273,Other UK,4,0,0,0,Very easy,self-catered,Excellent,NA,Excellent,NA,Not interested in social programme,NA,NA,Yes,NA,Good,Average,No,NA,"i found the area of day 4 wonderful. the areas of the other days were not what i expected of scotland (too many marshes, too much vegetation in the forests). i'm a little bit disappointed about the areas.",NA,car,"until day 3 in crieff (hotel), from day 3 to the end in perth (b+b)",car,> 60,4,NA,NA
274,Scotland,3,0,0,0,Very easy,self-catered,Excellent,NA,Excellent,NA,Excellent,NA,NA,Yes,Good,Excellent,Excellent,Yes,Excellent,NA,NA,car,barry buddon,car,> 60,3,NA,NA
275,Scotland,3,0,0,0,Very easy,own home,Excellent,All should be very proud. Great courses on good areas with excellent planning and car park / access thought.,Good,Ordering of days spot on (with physically and technically most challenging in the second half on day 4 and 5 respectively and a crowd pleasing fast finish on day 6).,Good,NA,NA,Yes,NA,Good,Good,Yes,Good,"our only issue was the late information on locations of assembly, finish and distances to starts. this made it very difficult for us to book in for the right days and so cost us additional money for missed entries, course change and late/ on the day entries. earlier info on these issues would assist us in particular owing to mobility problems.",NA,air,perth,car,41-60,3,NA,NA
276,Other UK,1,1,3,0,Easy,self-catered,Excellent,Impressed of the organisation. One minor comment - it should be several dustbin on the arena. Now it was not easy to understand where to throw the rubbish!,Excellent,On day 4 the course I run was to easy.,Good,NA,NA,Yes,NA,Excellent,Excellent,Yes,Excellent,NA,NA,car,perth,car,41-60,5,NA,NA
277,Other UK,15,0,0,0,Easy,campsite,Excellent,NA,Excellent,NA,Excellent,NA,NA,Yes,Average,Excellent,Average,Yes,Good,NA,aberdeen,no travel,comrie croft,car,21-40,20,-2.20397997,57.1669693
278,Other Europe,1,1,0,0,Very easy,hotel/B&B,Good,NA,Good,NA,Not interested in social programme,NA,NA,Yes,Good,Good,Good,No,NA,NA,aberdeen,no travel,polmont,car,41-60,4,-2.20397997,57.1669693
279,Other UK,1,0,0,0,Very easy,hotel/B&B,Excellent,NA,Good,Day 5's planning was poor. 1st leg awful. Moorland course after control 7 and on such a great area.,Not interested in social programme,NA,NA,Yes,Excellent,Excellent,Excellent,No,NA,NA,NA,car,killan,car,> 60,1,NA,NA
280,Other UK,4,1,0,0,Easy,self-catered,Good,NA,Excellent,NA,Not interested in social programme,NA,NA,Yes,NA,Good,Average,No,NA,NA,NA,car,st fillans,car,> 60,5,NA,NA
281,Other UK,1,0,0,0,Very easy,didn't go,Excellent,NA,Excellent,"H75L Day1 ok, Day2 ok, Day3 ok, Day4 bad planning from p5 to p6, Day5 missing more controls in the fine area around P1-4. Next time, how about making a butterfly of controls, in such a wonderfull area? Day6 Too easy and too short! One question and complain: 2 Days out of 6 We ran on maps 1:7,500! Next time please decide that H/D and up shall run with maps in 1:7,500. Thank you!",Not interested in social programme,NA,NA,Yes,Good,Excellent,Excellent,Yes,Excellent,NA,NA,air,comrie and pitlochry,bus,41-60,1,NA,NA
282,Other UK,4,0,0,0,Very easy,campsite,Excellent,NA,Good,NA,Not interested in social programme,NA,NA,Yes,NA,Excellent,Excellent,No,NA,bring back printed daily news. we had poor wifi access at accommodation and missed info until at event especially on days we had early starts,NA,car,stanley,car,> 60,4,NA,NA
283,Other Europe,2,0,0,0,Very easy,hotel/B&B,Excellent,NA,Excellent,"I ran a short course, and on some days, it felt like my course was made up of controls already used on other courses, rather than being planned as a course of it's own.",Average,NA,NA,Yes,NA,Good,Good,No,NA,NA,NA,car,creiff,car,> 60,2,NA,NA
284,Other UK,2,0,0,0,Very easy,hotel/B&B,Excellent,Thank you for helping us out with child care! The punching start option was the ideal solution :))),Excellent,NA,Not interested in social programme,NA,NA,Yes,NA,Excellent,Excellent,No,NA,NA,NA,car,"dollar, clackmannanshire",car,41-60,2,NA,NA
285,Other UK,4,1,0,0,Average,self-catered,Excellent,"Generally no complaints at all. Only two issues that I personally had. 1: could never connect to event WiFi for results (tried both o.net and 192.168.3.1). 2: was only told my day 6 start time on day 6, resulting in me having to be at the arena much earlier than necessary in the case of an early start",Good,Day 1. I think we all know the comments for this one.,Very poor,NA,NA,Yes,Good,Excellent,Good,No,NA,NA,NA,car,"comrie croft, perth",car,> 60,5,NA,NA
286,Other Europe,6,0,0,0,Very easy,self-catered,Good,NA,Good,NA,Not interested in social programme,NA,NA,Yes,Good,Good,Good,Yes,Good,NA,renfrewshire,car,crieff,car,41-60,6,-4.56833982,55.84862137
